Latitude,Longitude
32.75545984003149,120.93200683593751
32.87092589276563,120.93475341796876
32.979327058893006,120.89904785156251
33.085293111929076,120.84686279296876
33.1957304114801,120.8001708984375
33.3060286126974,120.74798583984376
33.4184809757353,120.70129394531251
33.526206790330825,120.64361572265626
33.64294913092143,120.57220458984376
33.75953339032815,120.49804687500001
33.875959300566954,120.44311523437501
33.999060904188205,120.38269042968751
34.106059909537734,120.31951904296876
34.18965980086996,120.28656005859376
34.29608699835194,120.10803222656251
34.33239938623584,119.99267578125
34.39137350410258,119.88830566406251
34.27792491515231,119.8663330078125
34.22795895168448,119.97619628906251
34.22341512024672,120.08056640625001
34.209782155271206,120.1849365234375
34.09608837730874,120.21789550781251
34.11428966497048,120.10253906250001
34.13703576755547,119.98718261718751
34.15522824282008,119.90478515625001
34.03690715956019,119.95422363281251
34.04601465248612,120.03112792968751
34.018689240012215,120.11901855468751
34.027798688693814,120.23986816406251
34.00046740970471,120.30578613281251
33.92754100098437,120.311279296875
33.941219464667576,120.19592285156251
33.91842080463106,120.09155273437501
33.96856979942198,120.00366210937501
33.840859730159295,120.14648437500001
33.849988221051,120.25634765625001
33.849988221051,120.34973144531251
33.744951721112685,120.41564941406251
33.735812022875585,120.30029296875001
33.781500773994864,120.1849365234375
33.72210064978047,120.11901855468751
33.66723325675668,120.21240234375001
33.644361505609304,120.311279296875
33.68095338923646,120.37170410156251
33.6306355374264,120.46508789062501
33.54823380446269,120.51452636718751
33.56655210162285,120.38269042968751
33.56655210162285,120.29479980468751
33.56655210162285,120.20690917968751
33.46575341378317,120.22338867187501
33.46575341378317,120.28381347656251
33.470337719631885,120.37170410156251
33.470337719631885,120.47607421875001
33.44282824775118,120.56945800781251
33.41531004976312,120.6298828125
33.323519747306115,120.63537597656251
33.341885554760196,120.53649902343751
33.36483736837128,120.44860839843751
33.36942700483227,120.34423828125001
33.36942700483227,120.25634765625001
33.28218252757277,120.333251953125
33.27299381842503,120.43212890625001
33.263804142180156,120.50903320312501
33.22243863486384,120.60791015625
33.17645400967227,120.70129394531251
33.075202878585166,120.73425292968751
33.07980773506647,120.61889648437501
33.148851645340635,120.52551269531251
33.16725418705827,120.40466308593751
33.04296213493535,120.41564941406251
33.04296213493535,120.49255371093751
33.00610111565597,120.58044433593751
32.97844523767933,120.69030761718751
32.98305515248371,120.78369140625001
32.89081114635864,120.82214355468751
32.87235080372031,120.72326660156251
32.88619642118563,120.60791015625
32.93694517577928,120.48706054687501
32.85850302370162,120.44860839843751
32.82156504142082,120.56945800781251
32.79847099895605,120.69580078125001
32.79847099895605,120.82214355468751
32.69216115642927,120.83312988281251
32.69216115642927,120.74523925781251
32.71065893546503,120.61889648437501
32.74302082084756,120.51452636718751
31.58474070808944,121.87408447265626
31.516835297716078,121.97570800781251
31.455912595955308,121.87683105468751
31.512150344857723,121.78344726562501
31.633882727958788,121.76971435546876
31.664290975025327,121.68182373046876
31.51917768606127,121.6900634765625
31.537914678484494,121.59393310546876
31.58474070808944,121.51702880859376
31.460600366013736,121.57196044921876
31.40902199345651,121.64886474609376
31.36680040581845,121.73675537109376
31.629203653293484,121.40991210937501
31.671306849967554,121.31103515625001
31.750783045791135,121.22039794921876
31.825521905428452,121.27532958984376
31.80917794334263,121.36871337890626
31.729751858996366,121.40991210937501
31.741436441211242,121.49230957031251
31.69235129481263,121.58020019531251
