Latitude,Longitude
36.653589404211225,-75.92514038085939
36.872338908813326,-76.51840209960939
36.61835327366619,-76.07345581054689
37.041403821051475,-76.60766601562501
37.29229821522526,-75.87432861328126
37.455862991826265,-75.73150634765626
37.61037542996566,-75.64361572265625
37.178684063715686,-76.70104980468751
37.22021677746465,-76.88781738281251
37.27264648188406,-77.07733154296876
37.31412745548716,-77.24761962890626
37.22021677746465,-76.43188476562501
37.32940415318638,-76.57745361328125
37.44061204007976,-76.70104980468751
37.51551738770546,-76.32614135742189
37.64926717548451,-76.44149780273439
37.727448187385846,-76.57333374023439
37.801477053564184,-75.51727294921875
37.97474352149327,-75.36895751953125
37.8729988742304,-75.73425292968751
37.68211998889939,-75.85235595703126
37.499481580045,-75.94573974609376
37.31852158970891,-75.99792480468751
37.134969852990295,-75.94024658203125
37.36652080232031,-76.40716552734375
37.82376170858629,-76.72851562500001
37.932068299437866,-76.30554199218751
38.06182588042752,-76.48132324218751
38.135307099316016,-76.68731689453126
38.41537756543287,-77.28881835937501
38.393872047714446,-77.05535888671876
38.264704618314546,-76.93176269531251
36.91967532580633,-76.01852416992189
